component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,45,756.417237805668,1312.20425980565,1318,8,1
1,45,715.383619667497,1407.20147685125,1218,8,1
1,45,679.229948919266,1489.23348012989,1118,8,1
1,45,651.522747812327,1555.64859439142,1018,8,1
1,45,634.116207920946,1605.84486204767,918,8,1
1,45,627.19004184939,1640.07285379869,818,8,1
1,45,629.146261730697,1658.99655280422,718,8,1
1,45,636.717982223723,1663.75616192798,618,8,1
1,45,645.330166616011,1656.24700380868,518,8,1
1,45,649.638093232643,1639.22729830085,418,8,1
1,45,644.21733077988,1616.16952954311,318,8,1
1,45,624.285962163936,1591.10291330785,218,8,1
1,45,586.297444869298,1569.0539533369,118,8,1
1,45,528.270016703289,1557.70737030133,18,8,1
1,46,-113983.672512478,2803.75815383288,18918,1,2
1,46,-113617.980920851,2770.61057571152,18818,1,2
1,46,-113079.474498085,2729.18757390459,18718,1,2
1,46,-112458.158345169,2685.63026193144,18618,1,2
1,46,-111853.666936356,2646.8825424331,18518,1,2
1,46,-111355.881846578,2620.18276234399,18418,1,2
1,46,-111022.105851616,2611.13853644491,18318,1,2
1,46,-110860.544946136,2621.77294041146,18218,1,2
1,46,-110843.245826442,2649.44676698464,18118,1,2
1,46,-110930.591612659,2685.27963602551,18018,1,2
1,46,-111083.913680007,2716.7889879809,17918,1,2
1,46,-111267.789105921,2737.44091446869,17818,1,2
1,46,-111450.662870692,2757.64349793404,17718,1,2
1,46,-111605.507210395,2810.88758511503,17618,1,2
1,46,-111710.568480692,2947.61307897956,17518,1,2
1,46,-111750.040949115,3212.54067633611,17418,1,2
1,46,-111713.893767132,3621.66488614951,17318,1,2
1,46,-111597.039869147,4159.53275622798,17218,1,2
1,46,-111398.524558256,4792.51546508227,17118,1,2
1,46,-111120.803521655,5482.3790630871,17018,1,2
1,46,-110769.098953464,6193.2698491682,16918,1,2
1,46,-110350.823275726,6893.86051598982,16818,1,2
1,46,-109875.060779969,7557.49437339604,16718,1,2
1,46,-109352.098238871,8161.79987931732,16618,1,2
1,46,-108792.996166801,8688.28298008005,16518,1,2
1,46,-108209.192945921,9122.01491466374,16418,1,2
1,46,-107612.134486038,9451.4153953547,16318,1,2
1,46,-107012.922456157,9668.10720871234,16218,1,2
1,46,-106421.974417721,9766.82025414315,16118,1,2
1,46,-105848.689406469,9745.32959661814,16018,1,2
1,46,-105301.112654553,9604.41785220148,15918,1,2
1,46,-104785.593218388,9347.85645303888,15818,1,2
1,46,-104306.428282136,8982.40351651137,15718,1,2
1,46,-103865.487841801,8517.81883636064,15618,1,2
1,46,-103461.813340918,7966.89946892969,15518,1,2
1,46,-103091.183624522,7345.54270553346,15418,1,2
1,46,-102745.64130254,6672.84584097907,15318,1,2
1,46,-102412.972264445,5971.24875305782,15218,1,2
1,46,-102076.130661582,5266.697735244,15118,1,2
1,46,-101712.601168576,4588.70418807137,15018,1,2
1,46,-101293.689746393,3969.86317644797,14918,1,2
1,46,-100783.733452437,3443.70336769607,14818,1,2
1,46,-100139.219071778,3038.89855983431,14718,1,2
1,46,-99307.7994718924,2768.99000078931,14618,1,2
1,46,-98227.2110967897,2623.13601753379,14518,1,2
1,46,-96826.6706112619,2569.38334410623,14418,1,2
1,46,-95044.190483178,2571.45301992841,14318,1,2
1,46,-92854.6870627538,2600.74778277429,14218,1,2
1,46,-90287.655619557,2636.05939489628,14118,1,2
1,46,-87429.6476177685,2661.1794245468,14018,1,2
1,46,-84412.0410076305,2666.60824833199,13918,1,2
1,46,-81391.1289208145,2652.29146666549,13818,1,2
1,46,-78524.3104702109,2627.66075461651,13718,1,2
1,46,-75945.8756346013,2606.66620999826,13618,1,2
1,46,-73742.7020723969,2598.77675272367,13518,1,2
1,46,-71936.0990101364,2602.06665442292,13418,1,2
1,46,-70487.2521162266,2606.66170455643,13318,1,2
1,46,-69320.2420196622,2604.55204336746,13218,1,2
1,46,-68346.8820400503,2595.48205835689,13118,1,2
1,46,-67490.0048817862,2586.30062355915,13018,1,2
1,46,-66698.3870240613,2586.67004366363,12918,1,2
1,46,-65949.270361952,2603.46428448118,12818,1,2
1,46,-65238.770881833,2635.43396899698,12718,1,2
1,46,-64567.7617063699,2670.94404472834,12618,1,2
1,46,-63935.1644445402,2693.29714074322,12518,1,2
1,46,-63336.736891089,2690.16701969478,12418,1,2
1,46,-62764.2303337445,2661.5488276135,12318,1,2
1,46,-62204.4897168991,2624.45217309831,12218,1,2
1,46,-61638.506090133,2613.91244519847,12118,1,2
1,46,-61041.5109943193,2678.98559357113,12018,1,2
1,46,-60387.3544757697,2870.7774503405,11918,1,2
1,46,-59654.3513818746,3220.26536140572,11818,1,2
1,46,-58826.885977718,3724.91997488929,11718,1,2
1,46,-57894.6886818279,4357.40792392452,11618,1,2
1,46,-56852.0662598275,5081.45694557713,11518,1,2
1,46,-55697.2227409007,5861.5974506385,11418,1,2
1,46,-54431.6605743794,6666.45394838721,11318,1,2
1,46,-53059.6524693761,7469.11554323117,11218,1,2
1,46,-51587.7751909625,8246.71352251862,11118,1,2
1,46,-50024.4973234739,8979.94811798916,11018,1,2
1,46,-48379.8136606328,9652.72720592358,10918,1,2
1,46,-46664.919450704,10251.9113599571,10818,1,2
1,46,-44891.9182173945,10767.1290120104,10718,1,2
1,46,-43073.5572987162,11190.6297501282,10618,1,2
1,46,-41222.9856006904,11517.1526028076,10518,1,2
1,46,-39353.5283536762,11743.7929205812,10418,1,2
1,46,-37478.4738895465,11869.8553767615,10318,1,2
1,46,-35610.8676298251,11896.6826607187,10218,1,2
1,46,-33763.3085903171,11827.450477076,10118,1,2
1,46,-31947.7437675111,11666.920466273,10018,1,2
1,46,-30175.2557774344,11421.1443595953,9918,1,2
1,46,-28455.8390680589,11097.1162706431,9818,1,2
1,46,-26798.1599225421,10702.376412174,9718,1,2
1,46,-25209.2961407807,10244.5805767448,9618,1,2
1,46,-23694.5186780924,9731.14048293138,9518,1,2
1,46,-22257.364141901,9169.25719228697,9418,1,2
1,46,-20899.9039102346,8566.23000004993,9318,1,2
1,46,-19623.0072538946,7929.76637110305,9218,1,2
1,46,-18426.5818840023,7268.23867864885,9118,1,2
1,46,-17309.7954693455,6590.87367512241,9018,1,2
1,46,-16271.2814576533,5907.88811366877,8918,1,2
1,46,-15309.3207452912,5230.66479776762,8818,1,2
1,46,-14421.899100461,4572.39745604883,8718,1,2
1,46,-13606.6057478609,3949.29966807183,8618,1,2
1,46,-12860.4846226135,3381.69154984755,8518,1,2
1,46,-12179.8669682052,2893.90261562299,8418,1,2
1,46,-11560.188271191,2510.79933916185,8318,1,2
1,46,-10995.787283875,2248.27039262818,8218,1,2
1,46,-10479.687059138,2100.15722303814,8118,1,2
1,46,-10003.4533640426,2034.8132654635,8018,1,2
1,46,-9557.48044045642,2010.5173014001,7918,1,2
1,46,-9130.43177508935,1997.13754659098,7818,1,2
1,46,-8694.59986647964,1985.14615262132,7718,1,2
1,46,-8220.212874474,1976.11631364691,7618,1,2
1,46,-7726.17149535753,1969.96281751468,7518,1,2
1,46,-7264.39701518603,1966.28497300411,7418,1,2
1,46,-6869.90670534037,1965.79613470633,7318,1,2
1,46,-6537.60431982204,1965.20762315855,7218,1,2
1,46,-6239.59173178114,1960.29064606864,7118,1,2
1,46,-5950.54772504978,1950.62511832357,7018,1,2
1,46,-5666.30965207703,1938.793730165,6918,1,2
