"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"34",",
 ","ProxyRecord",-4496.0125,6446.0125,"BP",-5.88635266454216,-5.95774088872023,-5.81409534821269,2.16975842922896,2.00991273937787,2.33338828681999,"95%"
"35",",
 ","ProxyRecord",-4446.0125,6396.0125,"BP",-5.78581836393337,-5.86068465019577,-5.70970492532771,1.84451708312772,1.70509895186265,1.98837468944779,"95%"
"36",",
 ","ProxyRecord",-4396.0125,6346.0125,"BP",-5.70260975515642,-5.77812026700861,-5.62667463942344,1.47674509513813,1.33077974197642,1.62221259607541,"95%"
"37",",
 ","ProxyRecord",-4346.0125,6296.0125,"BP",-5.63788982405827,-5.71248209346972,-5.56194448110496,1.12361223137099,0.948115719048544,1.30158652180962,"95%"
"38",",
 ","ProxyRecord",-4296.0125,6246.0125,"BP",-5.58909387999538,-5.66137338763108,-5.5127069250567,0.839785912754723,0.625376900288461,1.04838585788745,"95%"
"39",",
 ","ProxyRecord",-4246.0125,6196.0125,"BP",-5.55275658075883,-5.62349666921559,-5.47899375511553,0.625266438315951,0.378855887470675,0.860950630478365,"95%"
"40",",
 ","ProxyRecord",-4196.0125,6146.0125,"BP",-5.52541258413973,-5.59261590248977,-5.4557819225662,0.480053808056814,0.211744342216303,0.736571535615495,"95%"
"41",",
 ","ProxyRecord",-4146.0125,6096.0125,"BP",-5.50359654792915,-5.5720672875476,-5.43473704558704,0.404148021975909,0.129344301706436,0.667640237099383,"95%"
"42",",
 ","ProxyRecord",-4096.0125,6046.0125,"BP",-5.48384312991819,-5.55442519578572,-5.41490615562313,0.397549080072343,0.127628989375894,0.666257515982845,"95%"
"43",",
 ","ProxyRecord",-4046.0125,5996.0125,"BP",-5.46268698789793,-5.53530057441024,-5.39106902318321,0.46025698234761,0.195886144007604,0.717131499928419,"95%"
"44",",
 ","ProxyRecord",-3996.0125,5946.0125,"BP",-5.43666277965947,-5.51262224574323,-5.35956204460815,0.592271728800261,0.351812027217782,0.832380866267482,"95%"
"45",",
 ","ProxyRecord",-3946.0125,5896.0125,"BP",-5.40230516299389,-5.48151430751202,-5.32068858654792,0.793593319431869,0.588035703775635,1.00551092284196,"95%"
