component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-112760.79821857,4737.68420264223,16218,3,2
1,1,-112672.742773865,4754.01456878317,16118,3,2
1,1,-112516.477313814,4738.69919495966,16018,3,2
1,1,-112283.174868447,4691.90052955911,15918,3,2
1,1,-111964.315447581,4614.60392048645,15818,3,2
1,1,-111551.782961127,4508.62478389415,15718,3,2
1,1,-111037.96557745,4376.61399509864,15618,3,2
1,1,-110415.860111043,4222.05929606441,15518,3,2
1,1,-109679.18104642,4049.27780321947,15418,3,2
1,1,-108822.474823294,3863.39015320892,15318,3,2
1,1,-107841.24002842,3670.25955090132,15218,3,2
1,1,-106732.054161927,3476.36857303083,15118,3,2
1,1,-105492.707671039,3288.59452831487,15018,3,2
1,1,-104122.345971332,3113.83673098993,14918,3,2
1,1,-102621.620205552,2958.4606136281,14818,3,2
1,1,-100992.847522566,2827.57463257237,14718,3,2
1,1,-99240.1816941784,2724.25584768685,14618,3,2
1,1,-97369.7957401304,2648.9542298845,14518,3,2
1,1,-95390.2074985737,2599.35953668937,14418,3,2
1,1,-93313.3688981533,2570.95401141789,14318,3,2
1,1,-91156.0916763186,2558.04764942851,14218,3,2
1,1,-88940.5506010726,2554.87019460851,14118,3,2
1,1,-86693.7815084513,2556.44782889278,14018,3,2
1,1,-84446.4348195656,2559.1290593808,13918,3,2
1,1,-82230.8820196181,2560.75467451424,13818,3,2
1,1,-80078.9035854992,2560.53472175113,13718,3,2
1,1,-78019.3305862267,2558.70042830045,13618,3,2
1,1,-76075.6920986222,2556.02856142199,13518,3,2
1,1,-74264.3356372854,2553.39114434753,13418,3,2
1,1,-72594.2036566446,2551.53533340755,13318,3,2
1,1,-71067.7887756685,2551.03568174398,13218,3,2
1,1,-69682.2097277436,2552.2388273295,13118,3,2
1,1,-68430.2462502923,2555.17419103047,13018,3,2
1,1,-67301.2334617795,2559.52408822177,12918,3,2
1,1,-66281.644650368,2564.72979455514,12818,3,2
1,1,-65355.4138966389,2570.23784296871,12718,3,2
1,1,-64504.2300991453,2575.86425677047,12618,3,2
1,1,-63708.107441348,2582.26770991406,12518,3,2
1,1,-62946.1366722323,2591.36628317208,12418,3,2
1,1,-62197.2451031907,2606.51383678752,12318,3,2
1,1,-61440.9557741173,2632.30754470531,12218,3,2
1,1,-60658.1498443373,2673.95144704465,12118,3,2
1,1,-59831.8218176067,2736.24591119608,12018,3,2
1,1,-58947.7424568292,2822.53502150383,11918,3,2
1,1,-57994.8994058874,2933.917880166,11818,3,2
1,1,-56965.4576188689,3069.01490096957,11718,3,2
1,1,-55854.4785557315,3224.28328844459,11618,3,2
1,1,-54659.6395885702,3394.63394443596,11518,3,2
1,1,-53380.9679711424,3574.12191943418,11418,3,2
1,1,-52020.5880072601,3756.5500432572,11318,3,2
1,1,-50582.480100261,3935.91831553782,11218,3,2
1,1,-49072.2504076846,4106.72025172901,11118,3,2
1,1,-47496.9098635316,4264.11851407709,11018,3,2
1,1,-45864.6613639835,4404.03679647192,10918,3,2
1,1,-44184.6939417589,4523.19785850252,10818,3,2
1,1,-42466.9827801418,4619.12808402222,10718,3,2
1,1,-40722.0939386645,4690.1407958198,10618,3,2
1,1,-38960.9926814036,4735.30490223279,10518,3,2
1,1,-37194.8543138811,4754.40170437301,10418,3,2
1,1,-35434.8764496092,4747.87045147093,10318,3,2
1,1,-33692.0916440655,4716.7420054865,10218,3,2
1,1,-31977.179359681,4662.55940665589,10118,3,2
1,1,-30300.2762730811,4587.28424939003,10018,3,2
1,1,-28670.7840306191,4493.18857852512,9918,3,2
1,1,-27097.1737517826,4382.73359004451,9818,3,2
1,1,-25586.7869673464,4258.43899473311,9718,3,2
1,1,-24145.6309797484,4122.74940836877,9618,3,2
1,1,-22778.1860323567,3977.91671718672,9518,3,2
1,1,-21487.4364693649,3826.00465687447,9418,3,2
1,1,-20275.0371524617,3668.96841610755,9318,3,2
1,1,-19141.4709345661,3508.730302506,9218,3,2
1,1,-18086.2025619932,3347.24214189932,9118,3,2
1,1,-17107.8285303544,3186.5244527146,9018,3,2
1,1,-16204.2222210504,3028.67603052783,8918,3,2
1,1,-15372.7048918009,2875.83202934072,8818,3,2
1,1,-14610.1487774029,2730.1331536884,8718,3,2
1,1,-13912.9909278844,2593.69122056435,8618,3,2
1,1,-13277.1551276669,2468.58160116371,8518,3,2
1,1,-12697.9160556551,2356.75851215492,8418,3,2
1,1,-12169.693161739,2259.84848317118,8318,3,2
1,1,-11685.5972820204,2178.91158187679,8218,3,2
1,1,-11235.8876012042,2114.1273447546,8118,3,2
1,1,-10802.9805333074,2064.30407265105,8018,3,2
1,1,-10362.4689858537,2027.73902570614,7918,3,2
1,1,-9918.27780889347,2001.42516018942,7818,3,2
1,1,-9482.8296076078,1982.4864406484,7718,3,2
1,1,-9063.48261327669,1969.6585329606,7618,3,2
1,1,-8657.5761413686,1959.76518837449,7518,3,2
1,1,-8268.55993415974,1948.95689804374,7418,3,2
1,1,-7902.09160326049,1934.99998313623,7318,3,2
1,1,-7563.71448099054,1916.70016591463,7218,3,2
1,1,-7257.84524931386,1893.44265417067,7118,3,2
1,1,-6984.99916852452,1865.35752406987,7018,3,2
1,1,-6736.22354728356,1834.37370933929,6918,3,2
1,1,-6481.10197526217,1806.69317497423,6818,3,2
