component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,1.84364305928349,15.5705583087083,6268,1,2
1,1,1.91239790860563,15.5687343270366,6168,1,2
1,1,2.00402564259246,15.5671519655234,6068,1,2
1,1,2.11451930610463,15.5658242729388,5968,1,2
1,1,2.17353322120383,15.5668239204582,5868,1,2
1,1,2.05793396048248,15.5756633680618,5768,1,2
1,1,1.6635683978349,15.5829988563156,5668,1,2
1,1,1.45042999746278,15.5795396174256,5568,1,2
1,1,1.44230516117066,15.5810952306728,5468,1,2
1,1,1.48911782549694,15.5847803235214,5368,1,2
1,1,1.57047940731049,15.5846418858653,5268,1,2
1,1,1.65284024558961,15.5845556323359,5168,1,2
1,1,1.69793583555147,15.584638911266,5068,1,2
1,1,1.69028441382572,15.5847276719147,4968,1,2
1,1,1.62770345220342,15.5849194181915,4868,1,2
1,1,1.5144867284596,15.5853546863781,4768,1,2
1,1,1.35864962311462,15.5862219754187,4668,1,2
1,1,1.17129094030708,15.587644214841,4568,1,2
1,1,0.965467882128432,15.5894671231879,4468,1,2
1,1,0.755595944831147,15.5912246579787,4368,1,2
1,1,0.556420807428659,15.5922667194758,4268,1,2
1,1,0.38033048725687,15.5919610727416,4168,1,2
1,1,0.234891385352239,15.5901267635172,4068,1,2
1,1,0.119072679849342,15.5876422774376,3968,1,2
1,1,0.025520733948797,15.5874407405813,3868,1,2
1,1,-0.0456138968560846,15.5938573503977,3768,1,2
1,1,-0.0873293753433979,15.5955096926264,3668,1,2
1,1,-0.115286594601348,15.5879314008574,3568,1,2
1,1,-0.124158152043819,15.5864843477325,3468,1,2
1,1,-0.103721102885902,15.5886053097638,3368,1,2
1,1,-0.0458092353306703,15.5915700215952,3268,1,2
1,1,0.0574961207248274,15.5943164703239,3168,1,2
1,1,0.204884650912135,15.5957499990138,3068,1,2
1,1,0.380907327113674,15.5957298798865,2968,1,2
1,1,0.566714880159125,15.5957458117267,2868,1,2
1,1,0.736132076214999,15.5972103757852,2768,1,2
1,1,0.869067152086646,15.5976419525226,2668,1,2
1,1,0.949528983589262,15.5957783848167,2568,1,2
1,1,0.970320439860225,15.5961832863574,2468,1,2
1,1,0.931653174841777,15.5979672741312,2368,1,2
1,1,0.839861243078485,15.5999382398679,2268,1,2
1,1,0.70587021464482,15.6012987318165,2168,1,2
1,1,0.543041274407879,15.6016030569758,2068,1,2
1,1,0.365460818205029,15.6007386926176,1968,1,2
1,1,0.186563728814945,15.5988760306935,1868,1,2
1,1,0.0179580079670996,15.5964907323391,1768,1,2
1,1,-0.12906087808311,15.5942484841033,1668,1,2
1,1,-0.242938142586499,15.5927640707845,1568,1,2
1,1,-0.314626120356843,15.5924737954206,1468,1,2
1,1,-0.33951500788331,15.5935336967022,1368,1,2
1,1,-0.316313448119909,15.5956508269222,1268,1,2
1,1,-0.246689148303121,15.5980319040966,1168,1,2
1,1,-0.135434836465865,15.5996179738417,1068,1,2
1,1,0.00990498336963334,15.5995050118439,968,1,2
1,1,0.175847425051033,15.5972229212433,868,1,2
1,1,0.341772089991718,15.5928298713971,768,1,2
1,1,0.484121994227171,15.5870363980925,668,1,2
1,1,0.581987160639837,15.5811235406842,568,1,2
1,1,0.619432389875874,15.5769303517727,468,1,2
1,1,0.588764348737896,15.576987910863,368,1,2
1,1,0.493456881679595,15.5848714533997,268,1,2
1,1,0.350592937758192,15.6060927832999,168,1,2
1,1,0.192813371149823,15.6498909401156,68,1,2
1,1,-0.0903761245472252,15.6483436598571,18868,2,2
1,1,0.810668423010497,15.647602825249,18768,2,2
1,1,1.53680614928959,15.6497210863826,18668,2,2
1,1,2.06224243720999,15.6538660767195,18568,2,2
1,1,2.38076713234652,15.6597963527127,18468,2,2
1,1,2.50704108636354,15.6676656756887,18368,2,2
1,1,2.47224735876884,15.6778673345642,18268,2,2
1,1,2.30996847301497,15.6908828492759,18168,2,2
1,1,2.05014481766958,15.707226979533,18068,2,2
1,1,1.72033435988698,15.7274637511764,17968,2,2
1,1,1.34544698027783,15.7519647919615,17868,2,2
1,1,0.947264404739912,15.7804596434094,17768,2,2
