"","year","lat","lon","mhhw(m)","mhw(m)","mtl(m)","mlw(m)","mllw(m)","range(m)","HAT(m)","model"
"121",4,16.78,-87.86,-0.00312849162011173,-0.00276967930029155,0,0.00288888888888889,0.00390555555555555,-0.00711559888579386,-0.00638175046554934,"Hill et al. (2011)"
"122",4,16.75,-87.8,-0.00303361344537815,-0.00282507288629738,0,0.00288888888888889,0.00376044568245125,-0.00694281729428171,-0.00638175046554934,"Hill et al. (2011)"
"123",4,16.78,-87.83,-0.00312849162011173,-0.00282507288629738,0,0.00288888888888889,0.00371030640668522,-0.00694281729428171,-0.00638175046554934,"Hill et al. (2011)"
"124",4,17.2,-87.53,-0.00289014084507042,-0.00284164222873901,0,0.00290588235294118,0.00379213483146067,-0.00685955056179774,-0.00642964352720451,"Hill et al. (2011)"
"125",4,17.33,-87.79,-0.00298876404494382,-0.00277777777777778,0,0.00284164222873901,0.00368067226890756,-0.00669424964936885,-0.00634333958724204,"Hill et al. (2011)"
"126",4,17.55,-87.75,-0.00299718309859155,-0.0027859237536657,0,0.00270796460176991,0.00370140845070421,-0.00689451476793247,-0.00606037735849058,"Hill et al. (2011)"
"127",4,16.9,-88.06,-0.00335694822888283,-0.00304261363636363,NA,0.00338810198300283,0.00445945945945947,-0.00788059701492538,-0.00845960502692999,"Hill et al. (2011)"
"128",4,17.06,-88,-0.00324861878453038,-0.00301724137931034,NA,0.00299711815561959,0.00406593406593407,-0.00734159779614324,-0.00736813186813187,"Hill et al. (2011)"
"129",4,17.23,-88.05,-0.00335694822888283,-0.0031784702549575,0.001,0.00344350282485875,0.00464959568733155,-0.00798780487804879,-0.00838888888888889,"Hill et al. (2011)"
"130",4,17.47,-88.04,-0.00336612021857924,-0.00319658119658119,NA,0.00312,0.00423433242506813,-0.00745901639344262,-0.00731454545454546,"Hill et al. (2011)"
"131",4,16.45,-88.03,-0.00328846153846153,-0.00305999999999999,NA,0.00312893982808023,0.00408719346049047,-0.00757377049180329,-0.00719854280510018,"Hill et al. (2011)"
"132",4,16.8,-88.08,-0.0035,-0.0031784702549575,NA,0.00337853107344632,0.00444743935309973,-0.00803788903924223,-0.00824057450628365,"Hill et al. (2011)"
"133",4,16.1,-88.25,-0.00327945205479453,-0.00299145299145299,0.001,0.00292263610315185,0.00406504065040651,-0.00737329700272481,-0.00663272727272729,"Hill et al. (2011)"
"134",4,16.26,-88.17,-0.00327945205479453,-0.00285714285714285,0.001,0.00297994269340974,0.00407608695652174,-0.00738335607094134,-0.0069216757741348,"Hill et al. (2011)"
"135",4,16.96,-88.05,-0.00340760869565217,-0.0031784702549575,NA,0.00344350282485875,0.00463709677419355,-0.00802702702702704,-0.00874285714285714,"Hill et al. (2011)"
"136",4,17.47,-88.04,-0.00336612021857924,-0.00319658119658119,NA,0.00312,0.00423433242506813,-0.00745901639344262,-0.00731454545454546,"Hill et al. (2011)"
"137",4,16.96,-88.05,-0.00340760869565217,-0.0031784702549575,NA,0.00344350282485875,0.00463709677419355,-0.00802702702702704,-0.00874285714285714,"Hill et al. (2011)"
"138",4,16.84,-87.76,-0.00303361344537815,-0.00282507288629738,0,0.00274486803519062,0.00396935933147631,-0.00695251396648043,-0.00639365671641792,"Hill et al. (2011)"
"139",4,16.89,-87.77,-0.00298039215686274,-0.00282507288629738,0,0.00274486803519062,0.00391643454038997,-0.00695251396648043,-0.00639365671641792,"Hill et al. (2011)"
"140",4,16.74,-87.84,-0.00312849162011173,-0.00282507288629738,0,0.00288888888888889,0.00395833333333333,-0.00694281729428171,-0.00638175046554934,"Hill et al. (2011)"
"141",4,17.39,-87.49,-0.00305070422535211,-0.00285000000000001,0,0.00291445427728614,0.00380281690140845,-0.00687887323943662,-0.00613182674199625,"Hill et al. (2011)"
"142",4,17.39,-87.53,-0.00305070422535211,-0.0027,0,0.00276106194690266,0.00375211267605632,-0.00682676056338027,-0.00613182674199625,"Hill et al. (2011)"
"143",4,17.15,-87.61,-0.00304213483146067,-0.00269208211143696,0,0.00275294117647059,0.003781512605042,-0.00679803646563813,-0.00615009380863041,"Hill et al. (2011)"
"144",4,17.48,-87.83,-0.00298876404494382,-0.00277777777777778,0,0.0027,0.00369101123595504,-0.00670365168539325,-0.00631203007518796,"Hill et al. (2011)"
"145",4,17.25,-87.93,-0.00312849162011173,-0.00290697674418604,0.001,0.00283333333333333,0.00386350974930362,-0.006836820083682,-0.00658208955223882,"Hill et al. (2011)"
"146",4,17.38,-87.92,-0.00298039215686274,-0.00276967930029155,0,0.00283333333333333,0.00387430167597765,-0.0068027972027972,-0.00628838951310862,"Hill et al. (2011)"
"147",4,17.36,-87.88,-0.00298039215686274,-0.00291545189504373,0,0.00284164222873901,0.00387430167597765,-0.00668487394957981,-0.00628838951310862,"Hill et al. (2011)"
"148",4,16.9,-88.09,-0.00378989361702128,-0.00345706371191135,0.001,0.00385714285714285,0.00544240837696336,-0.0090831134564644,-0.0103217993079585,"Hill et al. (2011)"
"149",4,16.84,-88.1,-0.0038,-0.00346666666666666,0.001,0.00373961218836565,0.00507915567282323,-0.00888594164456236,-0.0100732984293193,"Hill et al. (2011)"
"150",4,16.83,-88.1,-0.00365775401069519,-0.00346666666666666,0.001,0.00373961218836565,0.00507915567282323,-0.00871978751660027,-0.00981818181818181,"Hill et al. (2011)"
"151",4,16.63,-88.2,-0.00452685421994885,-0.004032,0.001,0.00430769230769231,0.00606060606060606,-0.0104338422391858,-0.0120871021775544,"Hill et al. (2011)"
"152",4,17.4,-88.07,-0.00372192513368984,-0.00346666666666666,0.001,0.00359002770083102,0.00502645502645503,-0.00855319148936171,-0.00912631578947368,"Hill et al. (2011)"
"153",4,16.8,-88.08,-0.0035,-0.0031784702549575,NA,0.00337853107344632,0.00444743935309973,-0.00803788903924223,-0.00824057450628365,"Hill et al. (2011)"
"154",4,16.83,-88.11,-0.00398941798941799,-0.00358126721763085,0.001,0.00384657534246575,0.00522715404699739,-0.00922470433639949,-0.0106241379310344,"Hill et al. (2011)"
"155",4,17.48,-87.82,-0.00298876404494382,-0.00277777777777778,0,0.00285000000000001,0.00369101123595504,-0.00670365168539325,-0.00631203007518796,"Hill et al. (2011)"
"156",4,17.9148,87.9895,-0.00334615384615384,-0.00305999999999999,0.001,0.00290201729106628,0.00367955801104973,-0.00726272352132049,-0.00723913043478261,"Hill et al. (2011)"
"157",4,17.9405,87.9559,-0.00314917127071822,-0.00307758620689655,0.001,0.00286376811594202,0.00389473684210526,-0.00706639004149376,-0.00724270072992703,"Hill et al. (2011)"
"158",4,17.9895,87.9633,-0.00314917127071822,-0.00307758620689655,0.001,0.00271304347826087,0.00368975069252077,-0.00706639004149376,-0.00721636363636363,"Hill et al. (2011)"
"159",4,17.948,88.113,-0.00406824146981628,-0.00390710382513661,0.00133333333333333,0.0030611111111111,0.00403183023872679,-0.00824274406332454,-0.01027,"Hill et al. (2011)"
