"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"87",",
 ","ProxyRecord",-1846.0125,3796.0125,"BP",-2.35735645196278,-2.44338186855224,-2.27122590734889,1.41098890916779,0.803591059485079,2.03525787478339,"95%"
"88",",
 ","ProxyRecord",-1796.0125,3746.0125,"BP",-2.28200489789846,-2.3701633553526,-2.19495314878951,1.51583043381593,0.920648549071494,2.15456307956869,"95%"
"89",",
 ","ProxyRecord",-1746.0125,3696.0125,"BP",-2.2022564263376,-2.29348848382117,-2.11221825976967,1.57502215524357,1.00256030853566,2.18414359014058,"95%"
"90",",
 ","ProxyRecord",-1696.0125,3646.0125,"BP",-2.12286373233891,-2.21621017324693,-2.03058109736225,1.58523078644769,1.03854404161053,2.16961415443532,"95%"
"91",",
 ","ProxyRecord",-1646.0125,3596.0125,"BP",-2.04600909784246,-2.14415110053971,-1.95160092578709,1.5502735524351,1.00388310850943,2.10522820143647,"95%"
"92",",
 ","ProxyRecord",-1596.0125,3546.0125,"BP",-1.97361779170991,-2.07106578919899,-1.87152849020463,1.47751872894326,0.93161974088424,2.03421534312913,"95%"
"93",",
 ","ProxyRecord",-1546.0125,3496.0125,"BP",-1.90491179675867,-2.0040889851643,-1.79968912845245,1.38071469642993,0.81068954497891,1.94748940475002,"95%"
"94",",
 ","ProxyRecord",-1496.0125,3446.0125,"BP",-1.83878073433666,-1.93642772055302,-1.73470914516468,1.27204893544969,0.662184320405171,1.88923999980017,"95%"
"95",",
 ","ProxyRecord",-1446.0125,3396.0125,"BP",-1.7766306559714,-1.8741146631221,-1.67449676044034,1.15542930634395,0.527933510546847,1.79206660348019,"95%"
"96",",
 ","ProxyRecord",-1396.0125,3346.0125,"BP",-1.7199966420408,-1.82535826657354,-1.61226809415964,1.03677909176017,0.389398304612687,1.68308941012576,"95%"
"97",",
 ","ProxyRecord",-1346.0125,3296.0125,"BP",-1.67036741824424,-1.78311328147744,-1.55450389755031,0.920280876991675,0.264508450871126,1.58634552853045,"95%"
"98",",
 ","ProxyRecord",-1296.0125,3246.0125,"BP",-1.62746589719099,-1.75045941053708,-1.50541470038272,0.80884816783511,0.139882130438872,1.4681372588065,"95%"
"99",",
 ","ProxyRecord",-1246.0125,3196.0125,"BP",-1.58963282474075,-1.71870816247353,-1.45801663113193,0.705531941668841,0.0309505331167649,1.38871996427195,"95%"
"100",",
 ","ProxyRecord",-1196.0125,3146.0125,"BP",-1.5553125273245,-1.69286422218847,-1.41255978915592,0.616496550430304,-0.078744222650117,1.33254097308205,"95%"
"101",",
 ","ProxyRecord",-1146.0125,3096.0125,"BP",-1.52502346071294,-1.67107863744831,-1.37875937126255,0.551233513750204,-0.14555125909134,1.23869974565403,"95%"
"102",",
 ","ProxyRecord",-1096.0125,3046.0125,"BP",-1.49915954206111,-1.65381968612542,-1.34985139016798,0.517295213808263,-0.164235455983117,1.20580975974299,"95%"
"103",",
 ","ProxyRecord",-1046.0125,2996.0125,"BP",-1.4754369121711,-1.63259612716904,-1.31987390459032,0.514780824075703,-0.141333109997754,1.18412405365309,"95%"
"104",",
 ","ProxyRecord",-996.0125,2946.0125,"BP",-1.45136284986301,-1.60608550628245,-1.29375340814705,0.539728608907635,-0.129173200304036,1.21859825198619,"95%"
"105",",
 ","ProxyRecord",-946.0125,2896.0125,"BP",-1.42426280073985,-1.56983426626772,-1.27582605555632,0.583068358022594,-0.098481429576123,1.28843176426785,"95%"
"106",",
 ","ProxyRecord",-896.0125,2846.0125,"BP",-1.39388608823074,-1.52989488567098,-1.2588750702807,0.636781157092609,-0.106876629991145,1.38673469223705,"95%"
"107",",
 ","ProxyRecord",-846.0125,2796.0125,"BP",-1.36091425582208,-1.48772383513569,-1.23718349386762,0.687566587315843,-0.100256529105788,1.46044466684031,"95%"
"108",",
 ","ProxyRecord",-796.0125,2746.0125,"BP",-1.32505368336736,-1.44281751144893,-1.2067767876549,0.723455471985545,-0.0761356723560992,1.5433481484384,"95%"
