"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"225",896,7171.9,7388,7558,"Set1_thinned_2",2,"1"
"226",900,7185,7412,7573,"Set1_thinned_2",2,"1"
"227",904,7194.975,7438,7585.05,"Set1_thinned_2",2,"1"
"228",908,7207,7463,7596.1,"Set1_thinned_2",2,"1"
"229",912,7222.95,7488,7606.1,"Set1_thinned_2",2,"1"
"230",916,7242.925,7514,7619,"Set1_thinned_2",2,"1"
"231",920,7268.9,7541,7632,"Set1_thinned_2",2,"1"
"232",924,7301.95,7566.5,7645.025,"Set1_thinned_2",2,"1"
"233",928,7344.775,7591,7663.025,"Set1_thinned_2",2,"1"
"234",932,7433.925,7616,7686,"Set1_thinned_2",2,"1"
"235",936,7509.975,7644,7707,"Set1_thinned_2",2,"1"
"236",940,7590.975,7665.5,7723.05,"Set1_thinned_2",2,"1"
"237",944,7596,7670,7728.05,"Set1_thinned_2",2,"1"
"238",948,7600,7673,7734,"Set1_thinned_2",2,"1"
"239",952,7604,7676,7737.05,"Set1_thinned_2",2,"1"
"240",956,7608,7679,7740,"Set1_thinned_2",2,"1"
"241",960,7612,7681,7741,"Set1_thinned_2",2,"1"
"242",964,7615,7684,7743.025,"Set1_thinned_2",2,"1"
"243",968,7618,7687,7745.025,"Set1_thinned_2",2,"1"
"244",972,7621.975,7689.5,7747.025,"Set1_thinned_2",2,"1"
"245",976,7624.975,7692,7750.025,"Set1_thinned_2",2,"1"
"246",980,7627.975,7695,7753,"Set1_thinned_2",2,"1"
"247",984,7630.975,7697,7755.05,"Set1_thinned_2",2,"1"
"248",988,7633.975,7700,7758,"Set1_thinned_2",2,"1"
"249",992,7636.95,7703,7762,"Set1_thinned_2",2,"1"
"250",996,7638,7706,7765.025,"Set1_thinned_2",2,"1"
"251",1000,7640.95,7709,7770,"Set1_thinned_2",2,"1"
"252",1004,7642.975,7712,7772.05,"Set1_thinned_2",2,"1"
"253",1008,7643.975,7715,7778.025,"Set1_thinned_2",2,"1"
"254",1012,7646,7718,7781.075,"Set1_thinned_2",2,"1"
"255",1016,7650,7721,7784.1,"Set1_thinned_2",2,"1"
"256",1020,7653,7724,7788.1,"Set1_thinned_2",2,"1"
"257",1024,7658,7726,7793.05,"Set1_thinned_2",2,"1"
"258",1028,7661,7728,7799,"Set1_thinned_2",2,"1"
"259",1032,7664,7731,7803,"Set1_thinned_2",2,"1"
"260",1036,7669,7735,7806.025,"Set1_thinned_2",2,"1"
"261",1040,7674.975,7738,7811.025,"Set1_thinned_2",2,"1"
"262",1044,7677,7742,7818,"Set1_thinned_2",2,"1"
"263",1048,7685,7751,7828.05,"Set1_thinned_2",2,"1"
"264",1052,7698,7764,7848.025,"Set1_thinned_2",2,"1"
"265",1056,7709,7774,7875.125,"Set1_thinned_2",2,"1"
"266",1060,7721.975,7784,7886.025,"Set1_thinned_2",2,"1"
"267",1064,7728.975,7793,7898.05,"Set1_thinned_2",2,"1"
"268",1068,7735.975,7802,7904.075,"Set1_thinned_2",2,"1"
"269",1072,7743.975,7812,7912.025,"Set1_thinned_2",2,"1"
"270",1076,7752,7821,7918.025,"Set1_thinned_2",2,"1"
"271",1080,7754.975,7831,7923.025,"Set1_thinned_2",2,"1"
