"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"101",-4.01092904055511,0.212466475555256,5264.5,321.5,0.106233237777628,160.75,-3314.5,"Set1_thinned_2","_2"
"102",-4.05059460495857,0.212614713201802,5285.525,333.55,0.106307356600901,166.775,-3335.525,"Set1_thinned_2","_2"
"103",-4.09027076109725,0.212763981074634,5313.5,344.525,0.106381990537317,172.2625,-3363.5,"Set1_thinned_2","_2"
"104",-4.12993948761138,0.212914617530598,5336.5125,346.5125,0.106457308765299,173.25625,-3386.5125,"Set1_thinned_2","_2"
"105",-4.16961271213194,0.21306672778903,5351.9875,345.0375,0.106533363894515,172.51875,-3401.9875,"Set1_thinned_2","_2"
"106",-4.20929046798498,0.213220203233603,5365.5,341.525,0.106610101616802,170.7625,-3415.5,"Set1_thinned_2","_2"
"107",-4.24896874111894,0.213373961452371,5379.4875,341.5125,0.106686980726186,170.75625,-3429.4875,"Set1_thinned_2","_2"
"108",-4.28864299047437,0.213529269913523,5392.0125,340.0125,0.106764634956761,170.00625,-3442.0125,"Set1_thinned_2","_2"
"109",-4.32833060028867,0.213685653953488,5404.55,337.575,0.106842826976744,168.7875,-3454.55,"Set1_thinned_2","_2"
"110",-4.36801654388181,0.213842640336971,5416.0375,335.0625,0.106921320168485,167.53125,-3466.0375,"Set1_thinned_2","_2"
"111",-4.40770474821028,0.214001439169544,5426.525,331.525000000001,0.107000719584772,165.7625,-3476.525,"Set1_thinned_2","_2"
"112",-4.44739466670381,0.214160969362505,5439.5125,329.5125,0.107080484681253,164.75625,-3489.5125,"Set1_thinned_2","_2"
"113",-4.48709335703477,0.214321636161853,5449.4875,329.5375,0.107160818080926,164.76875,-3499.4875,"Set1_thinned_2","_2"
"114",-4.52678719030665,0.214483738447723,5461.9625,324.0625,0.107241869223861,162.03125,-3511.9625,"Set1_thinned_2","_2"
"115",-4.56647934065688,0.214648011056278,5470.5125,320.5125,0.107324005528139,160.25625,-3520.5125,"Set1_thinned_2","_2"
"116",-4.60618072710288,0.214812690178754,5482.0125,320.0125,0.107406345089377,160.00625,-3532.0125,"Set1_thinned_2","_2"
"117",-4.6458861287913,0.214978415519205,5492,320.025,0.107489207759603,160.0125,-3542,"Set1_thinned_2","_2"
"118",-4.68559423774515,0.215145525415654,5499.1125,318.1375,0.107572762707827,159.06875,-3549.1125,"Set1_thinned_2","_2"
"119",-4.72530304447772,0.215314018964171,5513.475,322.549999999999,0.107657009482085,161.275,-3563.475,"Set1_thinned_2","_2"
"120",-4.76501735009886,0.215483074776465,5526.525,319.575000000001,0.107741537388232,159.7875,-3576.525,"Set1_thinned_2","_2"
"121",-4.80473416001047,0.215653520670714,5534.05,322.1,0.107826760335357,161.05,-3584.05,"Set1_thinned_2","_2"
"122",-4.84444923784697,0.215825276925985,5544.0625,322.0625,0.107912638462993,161.03125,-3594.0625,"Set1_thinned_2","_2"
"123",-4.88416717713747,0.215997847320476,5563.975,314.075,0.107998923660238,157.0375,-3613.975,"Set1_thinned_2","_2"
"124",-4.92387958802753,0.216171657274587,5578.475,310.525,0.108085828637294,155.2625,-3628.475,"Set1_thinned_2","_2"
"125",-4.96359991248558,0.21634572940892,5594,307.025,0.10817286470446,153.5125,-3644,"Set1_thinned_2","_2"
"126",-5.00332497681968,0.216521782933058,5610.025,302.025000000001,0.108260891466529,151.0125,-3660.025,"Set1_thinned_2","_2"
"127",-5.0430531578727,0.216698629207674,5633.5375,299.537499999999,0.108349314603837,149.76875,-3683.5375,"Set1_thinned_2","_2"
"128",-5.08277624892292,0.216876595538832,5660.0375,287.0625,0.108438297769416,143.53125,-3710.0375,"Set1_thinned_2","_2"
"129",-5.12251139769256,0.217055789220129,5686,275.025,0.108527894610065,137.5125,-3736,"Set1_thinned_2","_2"
"130",-5.16224687890678,0.217237079822263,5704.6,263.625,0.108618539911131,131.8125,-3754.6,"Set1_thinned_2","_2"
"131",-5.20198264816154,0.217418164199581,5723.0125,263.0125,0.10870908209979,131.50625,-3773.0125,"Set1_thinned_2","_2"
"132",-5.24172332661432,0.217600439256275,5738.0125,258.0875,0.108800219628137,129.04375,-3788.0125,"Set1_thinned_2","_2"
"133",-5.28146433883463,0.21778315427362,5751.9875,256.087500000001,0.10889157713681,128.04375,-3801.9875,"Set1_thinned_2","_2"
"134",-5.32120862296544,0.217967644832263,5766.975,250.049999999999,0.108983822416131,125.025,-3816.975,"Set1_thinned_2","_2"
"135",-5.36095463284799,0.218153061530742,5777.475,247.525,0.109076530765371,123.7625,-3827.475,"Set1_thinned_2","_2"
"136",-5.4007001995195,0.218339356422423,5792.475,244.549999999999,0.109169678211211,122.275,-3842.475,"Set1_thinned_2","_2"
