"","ageBP","RSL_lwr_2sd","RSL","RSL_upr_2sd","site","lat","lon","model"
"315",5,-2.43,0.25,2.92,"5","16.695","-88.075","ANU-ICE"
"316",4.5,-1.96,0.38,2.73,"5","16.695","-88.075","ANU-ICE"
"317",4,-1.49,0.55,2.6,"5","16.695","-88.075","ANU-ICE"
"318",3.5,-1.1,0.65,2.4,"5","16.695","-88.075","ANU-ICE"
"319",3,-0.72,0.76,2.25,"5","16.695","-88.075","ANU-ICE"
"320",2.5,-0.47,0.76,2,"5","16.695","-88.075","ANU-ICE"
"321",2,-0.2,0.78,1.76,"5","16.695","-88.075","ANU-ICE"
"322",1.5,-0.16,0.58,1.32,"5","16.695","-88.075","ANU-ICE"
"323",1,-0.08,0.42,0.92,"5","16.695","-88.075","ANU-ICE"
"324",0.5,0,0.28,0.56,"5","16.695","-88.075","ANU-ICE"
"325",0,0,0,0,"5","16.695","-88.075","ANU-ICE"
"326",12,-66.97,-61.46,-55.96,"6","17.377","-87.576","ANU-ICE"
"327",11.5,-63.48,-58.28,-53.09,"6","17.377","-87.576","ANU-ICE"
"328",11,-56.97,-52.03,-47.1,"6","17.377","-87.576","ANU-ICE"
"329",10.5,-50.43,-45.73,-41.03,"6","17.377","-87.576","ANU-ICE"
"330",10,-42.67,-38.21,-33.74,"6","17.377","-87.576","ANU-ICE"
"331",9.5,-33.98,-29.71,-25.44,"6","17.377","-87.576","ANU-ICE"
"332",9,-25.89,-22.14,-18.38,"6","17.377","-87.576","ANU-ICE"
"333",8.5,-19.42,-15.73,-12.05,"6","17.377","-87.576","ANU-ICE"
"334",8,-15.12,-11.47,-7.83,"6","17.377","-87.576","ANU-ICE"
"335",7.5,-11.31,-7.75,-4.18,"6","17.377","-87.576","ANU-ICE"
