"","sampleID","LAT","MLWS","MLWN","MTL","MHWN","MHWS","HAT","StudySite","model"
"158","BBR 8-20.0",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"159","G5-120/125",-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,"Glover's Reef","OSU"
"160","G5-240/245",-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,"Glover's Reef","OSU"
"161","L4-base",-0.18591,-0.12867,-0.083519,-0.012274,0.062153,0.10094,0.14807,"Lighthouse Reef","OSU"
"162","G5-380/385",-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,"Glover's Reef","OSU"
"163","T5-base",-0.18313,-0.12645,-0.081806,-0.012253,0.060237,0.099007,0.14533,"Turneffe Island","OSU"
"164","G4-base",-0.18389,-0.12675,-0.082336,-0.012429,0.061141,0.098228,0.14238,"Glover's Reef","OSU"
"165","G5-base",-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,"Glover's Reef","OSU"
"166","T9-base",-0.18338,-0.12667,-0.082003,-0.012127,0.060648,0.099522,0.14597,"Turneffe Island","OSU"
"167","Beta-22919",-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,"Tobacco Range","OSU"
"168","Beta-22916",-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,"Tobacco Range","OSU"
"169","Beta-22923",-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,"Tobacco Range","OSU"
"170","Beta-22917",-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,"Tobacco Range","OSU"
"171","Beta-22936",-0.18215,-0.12285,-0.076528,-0.011757,0.056753,0.095597,0.14434,"Tobacco Range","OSU"
"172","Beta-31605",-0.18208,-0.12282,-0.076315,-0.011712,0.056783,0.095507,0.14432,"Tobacco Range","OSU"
"173","Beta-22920",-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,"Tobacco Range","OSU"
"174","Beta-22924",-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,"Tobacco Range","OSU"
"175","Beta-22921",-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,"Tobacco Range","OSU"
"176","Beta-22929",-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,"Tobacco Range","OSU"
"177","Beta-22926",-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,"Tobacco Range","OSU"
"178","Beta-31606",-0.18208,-0.12282,-0.076315,-0.011712,0.056783,0.095507,0.14432,"Tobacco Range","OSU"
"179","Beta-22932",-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,"Tobacco Range","OSU"
"180","Beta-22927",-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,"Tobacco Range","OSU"
"181","Beta-22925",-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,"Tobacco Range","OSU"
"182","Beta-22928",-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,"Tobacco Range","OSU"
"183","Beta-22930",-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,"Tobacco Range","OSU"
"184","Beta-22922",-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,"Tobacco Range","OSU"
"185","Beta-22937",-0.18215,-0.12285,-0.076528,-0.011757,0.056753,0.095597,0.14434,"Tobacco Range","OSU"
"186","Beta-22933",-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,"Tobacco Range","OSU"
"187","Beta-22934",-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,"Tobacco Range","OSU"
"188","Beta-22918",-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,"Tobacco Range","OSU"
"189","Beta-22931",-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,"Tobacco Range","OSU"
"190","20180",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"191","10-115-125",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"192","34790",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"193","6-200-216",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"194","12-90-100",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"195","12-190-200",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"196","1C-60",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"197","32933",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"198","1A-128",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"199","16-138-148",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"200","45703",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"201","12-290-300",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"202","16-300-310",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"203","15-250-270",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"204","14-490-500",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"205","1B-237",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"206","9-200-220",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
