"","depth","age_lwr_2sd","age_upr_2sd","mid_age","sample_elev","RWL","IR","IR_uncertainty_2sd","levelling_uncertainty_dumpy","levelling_uncertainty_GPS","core_uncertainty_russian","nonvertical_uncertainty","PDL","PDL sd","RSL","RSL_uncertainty_up","RSL_uncertainty_down","RSL_lwr_2sd","RSL_upr_2sd","paleotide_corr_RWL","paleotide_corr_IR","correctedRSL","corrRSL_uncertainty_up","corrRSL_uncertainty_down","corrRSL_lwr_2sd","corrRSL_upr_2sd"
"206",8.2,7037.975,7134.025,7086,-8.24031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.164,0.0489364005677183,0.00568582872891846,-8.21834967539842,0.324676566618681,0.280212192652809,-8.49856186805123,-7.89367310877974,-0.00960461687299551,0.516470708225143,-8.18177718652908,0.367982082046101,0.329415865900511,-8.51119305242959,-7.81379510448297
"207",8.24,7038.975,7135.025,7087,-8.28031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1648,0.0487395992593611,0.00567678575699192,-8.25854647670678,0.325080762125475,0.280211459266176,-8.53875793597296,-7.93346571458131,-0.00960461687299551,0.516470708225143,-8.22197398783743,0.368338759431815,0.32941524205745,-8.55138922989488,-7.85363522840562
"208",8.28,7040.975,7137,7088.9875,-8.32031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1656,0.0485502236539415,0.00566558285603621,-8.2987358523122,0.325486272574361,0.280210552325124,-8.57894640463732,-7.97324957973784,-0.00960461687299551,0.516470708225143,-8.26216336344285,0.368696695713482,0.329414470583852,-8.5915778340267,-7.89346666772937
"209",8.32,7042,7138,7090,-8.36031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1664,0.0483449664604385,0.00565392922417083,-8.3389411095057,0.325893212541538,0.280209610792786,-8.61915072029849,-8.01304789696417,-0.00960461687299551,0.516470708225143,-8.30236862063636,0.36905599273868,0.32941366968651,-8.63178229032287,-7.93331262789768
"210",8.36,7044,7143,7093.5,-8.40031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1672,0.0481399087908934,0.00565043428581077,-8.37914616717525,0.326302172760816,0.28020932880336,-8.65935549597861,-8.05284399441443,-0.00960461687299551,0.516470708225143,-8.3425736783059,0.369417173049817,0.329413429817484,-8.67198710812338,-7.97315650525608
"211",8.4,7048,7152.075,7100.0375,-8.44031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.168,0.0479261479086707,0.0056328725525634,-8.41935992805747,0.326711608809253,0.2802079144684,-8.69956784252587,-8.09264831924822,-0.00960461687299551,0.516470708225143,-8.38278743918812,0.369778873282965,0.329412226740932,-8.71219966592906,-8.01300856590516
"212",8.44,7059.975,7193.05,7126.5125,-8.48031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1688,0.047707469573082,0.00562558490268325,-8.45957860639306,0.327123198718687,0.280207328847669,-8.73978593524073,-8.13245540767437,-0.00960461687299551,0.516470708225143,-8.42300611752371,0.370142576496726,0.329411728594527,-8.75241784611824,-8.05286354102699
"213",8.48,7105,7294,7199.5,-8.52031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1696,0.0474967299956809,0.00561284427569447,-8.49978934597046,0.327535852085553,0.280206306855162,-8.77999565282563,-8.17225349388491,-0.00960461687299551,0.516470708225143,-8.46321685710111,0.370507320031734,0.329410859258006,-8.79262771635912,-8.09270953706938
"214",8.52,7181,7356,7268.5,-8.56031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1704,0.0472804073644725,0.00559693495565072,-8.54000566860167,0.327949723344216,0.280205033933275,-8.82021070253495,-8.21205594525745,-0.00914425023658949,0.491715334232403,-8.50389354636873,0.362363705692792,0.319798835525416,-8.82369238189415,-8.14152984067594
"215",8.56,7230.975,7376.025,7303.5,-8.60031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1712,0.0470632855486321,0.00558174142711469,-8.58022279041751,0.32836507376302,0.280203821650229,-8.86042661206774,-8.25185771665449,-0.00914425023658949,0.491715334232403,-8.54411066818457,0.362739652959609,0.319797773333802,-8.86390844151837,-8.18137101522496
"216",8.6,7257,7387,7322,-8.64031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.172,0.0468308652994088,0.00556973794568863,-8.62045521066673,0.32878206496263,0.280202866225689,-8.90065807689242,-8.2916731457041,-0.00914425023658949,0.491715334232403,-8.58434308843379,0.363117171726917,0.319796936200076,-8.90414002463387,-8.22122591670687
"217",8.64,7277.975,7398.025,7338,-8.68031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1728,0.0465896237992252,0.00556324209442685,-8.66069645216692,0.329200845941139,0.280202350040754,-8.94089880220767,-8.33149560622578,-0.00914425023658949,0.491715334232403,-8.62458432993398,0.36349639768535,0.319796483924113,-8.94438081385809,-8.26108793224863
"218",8.68,7299,7412,7355.5,-8.72031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1736,0.0463584286387484,0.00555386981944606,-8.70092764732739,0.329620843087694,0.28020160634415,-8.98112925367154,-8.3713068042397,-0.00914425023658949,0.491715334232403,-8.66481552509445,0.363876812066538,0.319795832305092,-8.98461135739954,-8.30093871302791
"219",8.72,7334.975,7451.025,7393,-8.76031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1744,0.0461111340154942,0.00554859196721897,-8.74117494195065,0.330042521213906,0.280201188093897,-9.02137613004455,-8.41113242073674,-0.00914425023658949,0.491715334232403,-8.70506281971771,0.364258836503791,0.319795465838863,-9.02485828555657,-8.34080398321392
"220",8.76,7344,7486.1,7415.05,-8.80031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1752,0.045860171889898,0.00554113291564128,-8.78142590407625,0.330465451952109,0.280200597668727,-9.06162650174497,-8.45096045212414,-0.00914425023658949,0.491715334232403,-8.7453137818433,0.364642083550125,0.319794948515101,-9.06510873035841,-8.38067169829318
"221",8.8,7350,7511,7430.5,-8.84031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.176,0.0456050159620554,0.00552238613535727,-8.82168106000409,0.330889022653319,0.280199117258546,-9.10188017726263,-8.49079203735077,-0.00914425023658949,0.491715334232403,-8.78556893777115,0.365025998353998,0.319793651397793,-9.10536258916894,-8.42054293941715
"222",8.84,7355.975,7528,7441.9875,-8.88031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1768,0.0453474104721874,0.00550590631081539,-8.86193866549396,0.331314138447442,0.280197820004315,-9.14213648549827,-8.53062452704651,-0.00914425023658949,0.491715334232403,-8.82582654326101,0.365411401706398,0.319792514760797,-9.14561905802181,-8.46041514155462
"223",8.88,7359,7542,7450.5,-8.92031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1776,0.045090878145167,0.00549057244383964,-8.90219519782098,0.331740717821917,0.280196616433891,-9.18239181425487,-8.57045447999906,-0.00914425023658949,0.491715334232403,-8.86608307558804,0.365798220365908,0.319791460209408,-9.18587453579744,-8.50028485522213
