"","SiteName","data_type_id","Age","true_RSL","RSLer_up_2sd","Age_up_er_2sd","RSL_err","Age_err","AgeCE","CV_fold","test_set","NI_var_grid_term","pred_RSL","upr","lwr","y_post_pred","upr_PI","lwr_PI","CI","CV_fold_number","obs_in_PI","nseg","RMSE"
"40",",
 ","ProxyRecord",5450.5125,-4.612960677,0.343319504023197,259.5125,0.171659752011599,129.75625,-3500.5125,2,"test_set",0.000711529099239883,-4.31020520339526,-4.35675458735235,-4.26124252730339,-4.3039910291791,-4.68555843192033,-3.9069152005578,"95%","2",TRUE,5,0.195877395517457
"41",",
 ","ProxyRecord",5521,-4.89137323,0.344089636619946,235,0.172044818309973,117.5,-3571,2,"test_set",0.00072882681754205,-4.41219599163473,-4.4589812831846,-4.36297424635726,-4.412478738794,-4.79770762571139,-4.04479638479412,"95%","2",FALSE,5,0.195877395517457
"42",",
 ","ProxyRecord",5540.55,-4.931154704,0.344202398,232.6,0.172101199126866,116.3,-3590.55,2,"test_set",0.000733951642306607,-4.4409280136974,-4.48779084498521,-4.39124580531267,-4.44939180110683,-4.82078981661393,-4.07074854493081,"95%","2",FALSE,5,0.195877395517457
"43",",
 ","ProxyRecord",6898.4875,-7.123284212,0.344312050323254,37.5124999999998,0.172156025161627,18.7562499999999,-4948.4875,2,"test_set",0.00143916405199729,-7.23461019282228,-7.27690183119115,-7.19200122108646,-7.23209490947451,-7.60688266341302,-6.85237835977738,"95%","2",TRUE,5,0.195877395517457
"44",",
 ","ProxyRecord",6901,-7.203151788,0.344632076022813,37,0.172316038011406,18.5,-4951,2,"test_set",0.00144111894504473,-7.24182450421842,-7.28418287701261,-7.19917253976307,-7.24508102539475,-7.61704208743068,-6.87293601224281,"95%","2",TRUE,5,0.195877395517457
"45",",
 ","ProxyRecord",6955.4875,-7.442811919,0.345609326054903,54.5124999999998,0.172804663027451,27.2562499999999,-5005.4875,2,"test_set",0.00148411592204578,-7.40072452704256,-7.44303710061371,-7.35842502149464,-7.39526193420864,-7.76950167665011,-7.01005201843078,"95%","2",TRUE,5,0.195877395517457
"46",",
 ","ProxyRecord",7069.4875,-7.722565125,0.346784271994654,50.5124999999998,0.173392135997327,25.2562499999999,-5119.4875,2,"test_set",0.0015777985781229,-7.74876768814363,-7.79260310330197,-7.70434059019927,-7.74785852479708,-8.1218028440109,-7.35517854152429,"95%","2",TRUE,5,0.195877395517457
"47",",
 ","ProxyRecord",7073,-7.842510552,0.347298114098866,50,0.173649057049433,25,-5123,2,"test_set",0.00158076508631755,-7.75983631516468,-7.80344526357216,-7.71547880700077,-7.75849757418936,-8.12570754906354,-7.37652229595371,"95%","2",TRUE,5,0.195877395517457
"48",",
 ","ProxyRecord",7199.5,-8.442668627,0.34995908964487,94.5,0.174979544822435,47.25,-5249.5,2,"test_set",0.00169078978431436,-8.17276951252408,-8.21971549201743,-8.12690090133159,-8.16607074902425,-8.56439391592125,-7.79108250053074,"95%","2",TRUE,5,0.195877395517457
"49",",
 ","ProxyRecord",7393,-8.682831134,0.342027151171328,58.0249999999996,0.171013575585664,29.0124999999998,-5443,2,"test_set",0.00187109163793941,-8.86106969670045,-8.91021970091636,-8.81178492301853,-8.86354240957643,-9.25915042814561,-8.48591844058634,"95%","2",TRUE,5,0.195877395517457
"50",",
 ","ProxyRecord",7501.9875,-9.083584591,0.343965959128801,99.0124999999998,0.171982979564401,49.5062499999999,-5551.9875,2,"test_set",0.00197903610481553,-9.28089450234855,-9.32836867657504,-9.23335218933592,-9.27734627446935,-9.66603573781424,-8.87112245423023,"95%","2",TRUE,5,0.195877395517457
"51",",
 ","ProxyRecord",7542.9875,-9.324212167,0.345159996659364,93.0124999999998,0.172579998329682,46.5062499999999,-5592.9875,2,"test_set",0.00202083580576051,-9.44511983606671,-9.49160430381861,-9.39958157029583,-9.4480078699878,-9.82087331810867,-9.05654155439371,"95%","2",TRUE,5,0.195877395517457
"52",",
 ","ProxyRecord",7590.4875,-9.645368042,0.346786157617497,67.5124999999998,0.173393078808748,33.7562499999999,-5640.4875,2,"test_set",0.00207007718628915,-9.6397978221444,-9.68392359913063,-9.59470662438881,-9.63533194693887,-10.0241407138762,-9.25255885301304,"95%","2",TRUE,5,0.195877395517457
"53",",
 ","ProxyRecord",7593,-9.685537385,0.346991817174247,66,0.173495908587123,33,-5643,2,"test_set",0.00207270615466548,-9.650228891254,-9.69407169288223,-9.60506187479032,-9.64477404537494,-10.0290850630249,-9.28151354460458,"95%","2",TRUE,5,0.195877395517457
