"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","lwr","upr","rate_pred","rate_lwr","rate_upr","CI","model","removalID","removalIDlabel"
"13876",",
 ","ProxyRecord",503.912500000001,1446.0875,"BP",-1.00938782333461,-1.15268453805054,-0.861309445205795,0.544689090094926,-0.0640811760886637,1.144757165943,"95%","Set10_thinned_4","_4","n=4"
"13877",",
 ","ProxyRecord",553.912500000002,1396.0875,"BP",-0.981853121643586,-1.11111807169877,-0.852724289776783,0.553504419621226,-0.0736706135146327,1.16355490895069,"95%","Set10_thinned_4","_4","n=4"
"13878",",
 ","ProxyRecord",603.912500000002,1346.0875,"BP",-0.954356454124454,-1.07832417979127,-0.82728075459081,0.543167723219392,-0.0762392673356281,1.14920221009794,"95%","Set10_thinned_4","_4","n=4"
"13879",",
 ","ProxyRecord",653.912500000002,1296.0875,"BP",-0.927855422073607,-1.05159343008096,-0.804915106853706,0.513679000889723,-0.0599442742788657,1.08523469182391,"95%","Set10_thinned_4","_4","n=4"
"13880",",
 ","ProxyRecord",703.912500000001,1246.0875,"BP",-0.903307626787442,-1.02942558534666,-0.777987155269354,0.465038252632059,-0.0600420931298703,0.984473007176797,"95%","Set10_thinned_4","_4","n=4"
"13881",",
 ","ProxyRecord",753.912500000001,1196.0875,"BP",-0.881670669562358,-1.01174630204534,-0.753554974182095,0.39724547844652,-0.0696918093240185,0.850073689133512,"95%","Set10_thinned_4","_4","n=4"
"13882",",
 ","ProxyRecord",803.912500000002,1146.0875,"BP",-0.86390215169475,-0.997110580992948,-0.730643040871304,0.310300678332979,-0.111851609961158,0.720452424130612,"95%","Set10_thinned_4","_4","n=4"
"13883",",
 ","ProxyRecord",853.912500000002,1096.0875,"BP",-0.850946232155451,-0.984630361039487,-0.714688149910971,0.206651434981614,-0.236036672977636,0.607504826814701,"95%","Set10_thinned_4","_4","n=4"
"13884",",
 ","ProxyRecord",903.912500000002,1046.0875,"BP",-0.84292039959546,-0.977231301712764,-0.705621442016876,0.118679208637848,-0.36695117468708,0.572843011280652,"95%","Set10_thinned_4","_4","n=4"
"13885",",
 ","ProxyRecord",953.912500000001,996.087499999999,"BP",-0.83864909243842,-0.975940973361025,-0.703240355548098,0.056470418863566,-0.47414769114926,0.55184209969126,"95%","Set10_thinned_4","_4","n=4"
"13886",",
 ","ProxyRecord",1003.9125,946.087499999999,"BP",-0.836844138855851,-0.97583853133948,-0.698853031196554,0.0200250656589292,-0.54015992770454,0.547134632077702,"95%","Set10_thinned_4","_4","n=4"
"13887",",
 ","ProxyRecord",1053.9125,896.087499999998,"BP",-0.836217367019273,-0.977536225164058,-0.687692148585728,0.00934314902393594,-0.574612232303599,0.559565040466368,"95%","Set10_thinned_4","_4","n=4"
"13888",",
 ","ProxyRecord",1103.9125,846.087499999998,"BP",-0.835480605100206,-0.989070509558613,-0.679078433218175,0.0244246689585515,-0.546125443142185,0.575942472015742,"95%","Set10_thinned_4","_4","n=4"
"13889",",
 ","ProxyRecord",1153.9125,796.087499999998,"BP",-0.833345681270172,-0.99635912385501,-0.666895225552372,0.065269625462651,-0.472443913672992,0.593681129833634,"95%","Set10_thinned_4","_4","n=4"
"13890",",
 ","ProxyRecord",1203.9125,746.087499999999,"BP",-0.82852442370069,-0.996908503694328,-0.657036070242378,0.131878018536493,-0.348042056727634,0.598182239299641,"95%","Set10_thinned_4","_4","n=4"
"13891",",
 ","ProxyRecord",1253.9125,696.087499999999,"BP",-0.81972866056328,-0.995169086776923,-0.639234444219627,0.224249848179788,-0.180122600631872,0.62475087813938,"95%","Set10_thinned_4","_4","n=4"
"13892",",
 ","ProxyRecord",1303.9125,646.087499999998,"BP",-0.805670220029464,-0.98640265727079,-0.621335557205183,0.342385114392645,-0.00116325051818696,0.677446645215831,"95%","Set10_thinned_4","_4","n=4"
"13893",",
 ","ProxyRecord",1353.9125,596.087499999998,"BP",-0.785060930270762,-0.965821858714974,-0.602091168140634,0.486283817175223,0.164130683161115,0.806049226317041,"95%","Set10_thinned_4","_4","n=4"
"13894",",
 ","ProxyRecord",1403.9125,546.087499999998,"BP",-0.756612619458694,-0.926930862230987,-0.584667057081479,0.655945956527222,0.250948892210264,1.05936888130653,"95%","Set10_thinned_4","_4","n=4"
"13895",",
 ","ProxyRecord",1453.9125,496.087499999999,"BP",-0.719106560689674,-0.870490633283602,-0.56434990283201,0.84341731881875,0.263062342017546,1.42832332774676,"95%","Set10_thinned_4","_4","n=4"
"13896",",
 ","ProxyRecord",1503.9125,446.087499999999,"BP",-0.672754121643033,-0.799214706268836,-0.540562845360289,1.00532147967645,0.28880021987826,1.74896746039553,"95%","Set10_thinned_4","_4","n=4"
"13897",",
 ","ProxyRecord",1553.9125,396.087499999998,"BP",-0.619109646521482,-0.722042330891095,-0.512065297558345,1.13509876181504,0.338299549694424,1.94165375918057,"95%","Set10_thinned_4","_4","n=4"
"13898",",
 ","ProxyRecord",1603.9125,346.087499999998,"BP",-0.559779479260973,-0.646749462164362,-0.473469129157641,1.23274916523474,0.428680416208185,2.05723897478552,"95%","Set10_thinned_4","_4","n=4"
"13899",",
 ","ProxyRecord",1653.9125,296.087499999998,"BP",-0.496369963797451,-0.580636843081327,-0.409722198846351,1.29827268993553,0.564205221692373,2.04014230810312,"95%","Set10_thinned_4","_4","n=4"
"13900",",
 ","ProxyRecord",1703.9125,246.087499999999,"BP",-0.430487444066866,-0.523911525331679,-0.339000019689372,1.33166933591728,0.709671003414642,1.9556616933418,"95%","Set10_thinned_4","_4","n=4"
"13901",",
 ","ProxyRecord",1753.9125,196.087499999999,"BP",-0.363738264005167,-0.467728554761765,-0.26230896974505,1.33293910318011,0.823000279604913,1.8393275821591,"95%","Set10_thinned_4","_4","n=4"
"13902",",
 ","ProxyRecord",1803.9125,146.087499999998,"BP",-0.297728767548299,-0.406972839321999,-0.18956369734032,1.30208199172393,0.786578056987411,1.81183458217542,"95%","Set10_thinned_4","_4","n=4"
"13903",",
 ","ProxyRecord",1853.9125,96.0874999999992,"BP",-0.234065298632216,-0.342544621358219,-0.127898504112114,1.23909800154886,0.518505384333069,1.96502036062379,"95%","Set10_thinned_4","_4","n=4"
"13904",",
 ","ProxyRecord",1903.9125,46.0874999999985,"BP",-0.174354201192862,-0.288990295732387,-0.0647224721008819,1.14398713265478,0.0209629036572147,2.22878017887455,"95%","Set10_thinned_4","_4","n=4"
"13905",",
 ","ProxyRecord",1953.9125,-3.91250000000218,"BP",-0.120201819166186,-0.258463727519398,0.012752469400872,1.01674938504168,-0.608932262138513,2.61614993086909,"95%","Set10_thinned_4","_4","n=4"
"13906",",
 ","ProxyRecord",2018.5,-68.5,"BP",-0.0610873155343136,-0.289609796864601,0.163048688828294,0.804841883120583,-1.61581613081164,3.18770757668075,"95%","Set10_thinned_4","_4","n=4"
"13907",",
 ","ProxyRecord",-6228.525,8178.525,"BP",-11.5276729626502,-11.7405118901459,-11.3063243343577,-2.12435155674043,-3.78296984865199,-0.518556529405761,"95%","Set10_thinned_5","_5","n=5"
