tosave_1,tosave_2,tosave_3,tosave_4,tosave_5,tosave_6,tosave_7,tosave_8,
sampleID,LAT,MLWS,MLWN,MTL,MHWN,MHWS,HAT,StudySite
TR 4-3,-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Soldier Cay, Turneffe Atoll"
LR 7-5.1,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Glover's Reef
TR 4-3,-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,Glover's Reef
GR 1-2.8,-0.18356,-0.12644,-0.082127,-0.012376,0.061014,0.098052,0.14216,Glover's Reef
GR 2-4.6,-0.18398,-0.12684,-0.082377,-0.012447,0.061259,0.098172,0.14223,Glover's Reef
LR 7-7.9,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Lighthouse Reef
GR 1-5.6,-0.18398,-0.12684,-0.082377,-0.012447,0.061259,0.098172,0.14223,Glover's Reef
LR 7-7.9,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Glover's Reef
BBR 6-7.6,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 7-6.4,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 1-8.1,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 2-4.4,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
BBR 8-14.5,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
BBR 9-15.5,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
BBR 1-13.9,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 5-14.0,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 3-20.0,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
BBR 9-19.8,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
BBR 8-20.0,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
G5-120/125,-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,Glover's Reef
G5-240/245,-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,Glover's Reef
L4-base,-0.18591,-0.12867,-0.083519,-0.012274,0.062153,0.10094,0.14807,Lighthouse Reef
G5-380/385,-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,Glover's Reef
T5-base,-0.18313,-0.12645,-0.081806,-0.012253,0.060237,0.099007,0.14533,Turneffe Island
G4-base,-0.18389,-0.12675,-0.082336,-0.012429,0.061141,0.098228,0.14238,Glover's Reef
G5-base,-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,Glover's Reef
T9-base,-0.18338,-0.12667,-0.082003,-0.012127,0.060648,0.099522,0.14597,Turneffe Island
Beta-22919,-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,Tobacco Range
Beta-22916,-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,Tobacco Range
Beta-22923,-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,Tobacco Range
Beta-22917,-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,Tobacco Range
Beta-22936,-0.18215,-0.12285,-0.076528,-0.011757,0.056753,0.095597,0.14434,Tobacco Range
Beta-31605,-0.18208,-0.12282,-0.076315,-0.011712,0.056783,0.095507,0.14432,Tobacco Range
Beta-22920,-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,Tobacco Range
Beta-22924,-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,Tobacco Range
Beta-22921,-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,Tobacco Range
Beta-22929,-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,Tobacco Range
Beta-22926,-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,Tobacco Range
Beta-31606,-0.18208,-0.12282,-0.076315,-0.011712,0.056783,0.095507,0.14432,Tobacco Range
Beta-22932,-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,Tobacco Range
Beta-22927,-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,Tobacco Range
Beta-22925,-0.18211,-0.12282,-0.076476,-0.011747,0.056784,0.095522,0.14424,Tobacco Range
Beta-22928,-0.18205,-0.12274,-0.07616,-0.011712,0.056583,0.095464,0.14443,Tobacco Range
Beta-22930,-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,Tobacco Range
Beta-22922,-0.18206,-0.12277,-0.076199,-0.011724,0.056612,0.095462,0.14438,Tobacco Range
Beta-22937,-0.18215,-0.12285,-0.076528,-0.011757,0.056753,0.095597,0.14434,Tobacco Range
Beta-22933,-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,Tobacco Range
Beta-22934,-0.18205,-0.12276,-0.076182,-0.011722,0.056591,0.095461,0.1444,Tobacco Range
Beta-22918,-0.18207,-0.12278,-0.076223,-0.011728,0.056637,0.095457,0.14437,Tobacco Range
Beta-22931,-0.18204,-0.12273,-0.076143,-0.011706,0.056586,0.09546,0.14444,Tobacco Range
20180,-0.181991799,-0.122729057,-0.076164894,-0.011713828,0.056659238,0.095379401,0.143876217,Twin Cays
10-115-125,-0.1819,-0.12247,-0.075971,-0.011661,0.056489,0.095303,0.1441,Twin Cays
34790,-0.181991799,-0.122729057,-0.076164894,-0.011713828,0.056659238,0.095379401,0.143876217,Twin Cays
6-200-216,-0.1819,-0.12249,-0.076016,-0.011683,0.056492,0.09528,0.14403,Twin Cays
12-90-100,-0.182,-0.12275,-0.076202,-0.011714,0.056698,0.095395,0.14385,Twin Cays
12-190-200,-0.182,-0.12275,-0.076202,-0.011714,0.056698,0.095395,0.14385,Twin Cays
1C-60,-0.18192,-0.12253,-0.075979,-0.011682,0.056504,0.095274,0.14397,Twin Cays
32933,-0.181895367,-0.122463403,-0.075968786,-0.011660631,0.056489298,0.095300367,0.144096044,Twin Cays
1A-128,-0.18192,-0.12253,-0.075974,-0.011681,0.056498,0.095279,0.14398,Twin Cays
16-138-148,-0.18186,-0.12252,-0.07587,-0.011685,0.0564,0.095253,0.14412,Twin Cays
45703,-0.1818433,-0.122429278,-0.075778029,-0.011627162,0.056466327,0.095232332,0.144188301,Twin Cays
12-290-300,-0.182,-0.12275,-0.076202,-0.011714,0.056698,0.095395,0.14385,Twin Cays
16-300-310,-0.18186,-0.12252,-0.07587,-0.011685,0.0564,0.095253,0.14412,Twin Cays
15-250-270,-0.18188,-0.12249,-0.075915,-0.011664,0.05647,0.095281,0.14412,Twin Cays
14-490-500,-0.18196,-0.1226,-0.07606,-0.011685,0.056581,0.095334,0.14394,Twin Cays
1B-237,-0.18191,-0.12252,-0.075964,-0.011676,0.056491,0.095286,0.14399,Twin Cays
9-200-220,-0.18183,-0.1224,-0.075749,-0.011635,0.056383,0.095224,0.14421,Twin Cays
11-190-210,-0.1819,-0.12247,-0.075965,-0.01166,0.056489,0.095305,0.1441,Twin Cays
15-500-520,-0.18188,-0.12249,-0.075915,-0.011664,0.05647,0.095281,0.14412,Twin Cays
1C-425,-0.18192,-0.12253,-0.075979,-0.011682,0.056504,0.095274,0.14397,Twin Cays
7-250-270,-0.18187,-0.12249,-0.07589,-0.011668,0.056431,0.095272,0.14413,Twin Cays
9-350-370,-0.18183,-0.1224,-0.075749,-0.011635,0.056383,0.095224,0.14421,Twin Cays
2-210,-0.18184,-0.12243,-0.075778,-0.011627,0.056466,0.095232,0.14419,Twin Cays
1C-555,-0.18192,-0.12253,-0.075979,-0.011682,0.056504,0.095274,0.14397,Twin Cays
1A-350,-0.18192,-0.12253,-0.075974,-0.011681,0.056498,0.095279,0.14398,Twin Cays
2-204,-0.18184,-0.12243,-0.075778,-0.011627,0.056466,0.095232,0.14419,Twin Cays
1B-360,-0.18191,-0.12252,-0.075964,-0.011676,0.056491,0.095286,0.14399,Twin Cays
1A-355,-0.18192,-0.12253,-0.075974,-0.011681,0.056498,0.095279,0.14398,Twin Cays
7-500-520,-0.18187,-0.12249,-0.07589,-0.011668,0.056431,0.095272,0.14413,Twin Cays
1A-420,-0.18192,-0.12253,-0.075974,-0.011681,0.056498,0.095279,0.14398,Twin Cays
16-630-644,-0.18186,-0.12252,-0.07587,-0.011685,0.0564,0.095253,0.14412,Twin Cays
3-260,-0.1819,-0.12246,-0.075969,-0.011661,0.056489,0.0953,0.1441,Twin Cays
7-693-713,-0.18187,-0.12249,-0.07589,-0.011668,0.056431,0.095272,0.14413,Twin Cays
6-620-640,-0.1819,-0.12249,-0.076016,-0.011683,0.056492,0.09528,0.14403,Twin Cays
15-690-709,-0.18188,-0.12249,-0.075915,-0.011664,0.05647,0.095281,0.14412,Twin Cays
1A-518,-0.18192,-0.12253,-0.075974,-0.011681,0.056498,0.095279,0.14398,Twin Cays
Geochron BS30-5.3,-0.18372,-0.12716,-0.080607,-0.01114,0.061189,0.10202,0.1521,Bulkhead
Geochron 22-1,-0.18321,-0.12691,-0.081227,-0.011349,0.061377,0.10137,0.15064,Cangrejo
Geochron 14-4,-0.18325,-0.1269,-0.08107,-0.011284,0.061358,0.10148,0.15075,Cangrejo
Geochron 7-3,-0.18325,-0.12694,-0.081201,-0.011323,0.061403,0.10144,0.15076,Cangrejo
Geochron 16-4,-0.18322,-0.1269,-0.081191,-0.011324,0.061356,0.10144,0.15067,Cangrejo
Geochron BS44-.9,-0.18365,-0.12712,-0.080702,-0.011185,0.06123,0.10185,0.15194,Bulkhead
Geochron 16-5.4,-0.18322,-0.1269,-0.081191,-0.011324,0.061356,0.10144,0.15067,Cangrejo
Geochron 9-5.4,-0.18323,-0.12692,-0.081221,-0.011343,0.061378,0.10139,0.15069,Cangrejo
Geochron BS8-1.6,-0.18358,-0.12697,-0.080673,-0.011159,0.061201,0.1018,0.15185,Bulkhead
Geochron BS30-3.8,-0.18372,-0.12716,-0.080607,-0.01114,0.061189,0.10202,0.1521,Bulkhead
Geochron 22-3.9,-0.18321,-0.12691,-0.081227,-0.011349,0.061377,0.10137,0.15064,Cangrejo
Geochron 7-4.9,-0.18325,-0.12694,-0.081201,-0.011323,0.061403,0.10144,0.15076,Cangrejo
Geochron BS42-3.4,-0.1841,-0.12756,-0.080808,-0.011165,0.061413,0.10229,0.15252,Bulkhead
