Site,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Type,Indicator,SubRegion_No
Belize_3,17.441901,-87.839003,-2.247961934,0.247294437,0.247294437,4205,1450,1450,0,1,3
Belize_3,17.441901,-87.839003,-2.972424622,0.254267374,0.254267374,4251,1487,1487,0,1,3
Belize_3,17.441901,-87.839003,-4.312123148,0.225119251,0.225119251,6187,1320,1320,-1,1,3
Barbados,13,-60,-93.5,2.5,2.5,14082,56,56,0,1,999
Barbados,13,-60,-94.4,2.5,2.5,14295,58,58,0,1,999
Barbados,13,-60,-95.6,2.5,2.5,14255,40,40,0,1,999
Barbados,13,-60,-97.4,2.5,2.5,14408,40,40,0,1,999
Barbados,13,-60,-97.5,2.5,2.5,14396,36,36,0,1,999
Barbados,13,-60,-98.9,2.5,2.5,14539,46,46,0,1,999
Barbados,13,-60,-111.4,2.5,2.5,18116,74,74,0,1,999
Barbados,13,-60,-112,2.5,2.5,18174,66,66,0,1,999
Barbados,13,-60,-112.2,2.5,2.5,18448,100,100,0,1,999
Barbados,13,-60,-112.2,2.5,2.5,18218,88,88,0,1,999
Barbados,13,-60,-112.2,2.5,2.5,18176,112,112,0,1,999
Barbados,13,-60,-113.2,2.5,2.5,18549,52,52,0,1,999
Barbados,13,-60,-113.7,2.5,2.5,18746,128,128,0,1,999
Barbados,13,-60,-113.9,2.5,2.5,18783,160,160,0,1,999
Barbados,13,-60,-115.5,2.5,2.5,18716,56,56,0,1,999
Barbados,13,-60,-115.7,2.5,2.5,18806,66,66,0,1,999
Barbados,13,-60,-120.3,2.5,2.5,19075,110,110,0,1,999
Barbados,13,-60,-61.5,2.5,2.5,12002,50,50,0,1,999
Barbados,13,-60,-61.8,2.5,2.5,12203,76,76,0,1,999
Barbados,13,-60,-61.9,2.5,2.5,12170,30,30,0,1,999
Barbados,13,-60,-64.8,2.5,2.5,12798,50,50,0,1,999
Barbados,13,-60,-66.6,2.5,2.5,12844,78,78,0,1,999
Barbados,13,-60,-68.2,2.5,2.5,12993,34,34,0,1,999
Barbados,13,-60,-69.8,2.5,2.5,13088,112,112,0,1,999
Barbados,13,-60,-70.3,2.5,2.5,13179,32,32,0,1,999
Barbados,13,-60,-73.7,2.5,2.5,13555,38,38,0,1,999
Barbados,13,-60,-74,2.5,2.5,13574,52,52,0,1,999
Barbados,13,-60,-74.2,2.5,2.5,13578,52,52,0,1,999
Barbados,13,-60,-74.5,2.5,2.5,13632,32,32,0,1,999
Barbados,13,-60,-87.5,2.5,2.5,29540,82,82,0,1,999
Barbados,13,-60,-87.8,2.5,2.5,30147,114,114,0,1,999
Barbados,13,-60,-88.2,2.5,2.5,30225,150,150,0,1,999
Barbados,13,-60,-88.8,2.5,2.5,30298,220,220,0,1,999
Barbados,13,-60,-88.9,2.5,2.5,30242,96,96,0,1,999
Barbados,13,-60,-111.9,2.5,2.5,17580,138,138,0,1,999
Barbados,13,-60,-96.3,2.5,2.5,14573,30,30,0,1,999
Barbados,13,-60,-107.9,2.5,2.5,18408,52,52,0,1,999
Barbados,13,-60,-108.3,2.5,2.5,19392,58,58,0,1,999
Barbados,13,-60,-109.9,2.5,2.5,19518,66,66,0,1,999
Barbados,13,-60,-110.3,2.5,2.5,19708,52,52,0,1,999
