component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,4.21403142150957,3.01388137539739,7468,2,1
1,1,3.715384096778,2.95524447247139,7368,2,1
1,1,3.26032179815695,2.92722102185429,7268,2,1
1,1,2.86782135229557,2.92087039691266,7168,2,1
1,1,2.51254586116877,2.92580002548651,7068,2,1
1,1,2.14677614692599,2.93874801198389,6968,2,1
1,1,1.74506259994116,2.96136131240047,6868,2,1
1,1,1.32716661162674,2.9928280246902,6768,2,1
1,1,0.953979228986426,3.02633205244282,6668,2,1
1,1,0.706530036921613,3.05484166247738,6568,2,1
1,1,0.586875438811257,3.08012213433077,6468,2,1
1,1,0.535766116711313,3.10062719763701,6368,2,1
1,1,0.537528139501808,3.11211559135589,6268,2,1
1,1,0.599443180165252,3.11148998004735,6168,2,1
1,1,0.713254111264832,3.10130976103124,6068,2,1
1,1,0.859600522210823,3.08966536574848,5968,2,1
1,1,1.03127245062031,3.08456447675597,5868,2,1
1,1,1.24087940569036,3.08982170049658,5768,2,1
1,1,1.50882594692055,3.10608842784895,5668,2,1
1,1,1.82875740287825,3.1299736485347,5568,2,1
1,1,2.15155604344327,3.15331830321219,5468,2,1
1,1,2.40331263574772,3.16976725657267,5368,2,1
1,1,2.53476253333967,3.17600805821106,5268,2,1
1,1,2.53967616280541,3.17055751458011,5168,2,1
1,1,2.44808037032839,3.15577876991129,5068,2,1
1,1,2.29892321839463,3.1369843494048,4968,2,1
1,1,2.12808714742772,3.11989447614685,4868,2,1
1,1,1.96058696642052,3.10613399346561,4768,2,1
1,1,1.80672942174133,3.09202624997246,4668,2,1
1,1,1.66200471167918,3.07306502172946,4568,2,1
1,1,1.5177613169048,3.04892788983104,4468,2,1
1,1,1.3746603089571,3.02544643466961,4368,2,1
1,1,1.239687084076,3.01251873268539,4268,2,1
1,1,1.1166862904653,3.01812840931365,4168,2,1
1,1,0.998873996469192,3.04445877077413,4068,2,1
1,1,0.860994812278077,3.08975053779448,3968,2,1
1,1,0.659267371306196,3.15056802918713,3868,2,1
1,1,0.343496772064827,3.21479096057884,3768,2,1
1,1,-0.111704745492898,3.24409242365406,3668,2,1
1,1,-0.521646689078771,3.20344996919439,3568,2,1
1,1,-0.766446366226301,3.1342793300705,3468,2,1
1,1,-0.859757908144965,3.07608423600978,3368,2,1
1,1,-0.815343761835247,3.04971767370349,3268,2,1
1,1,-0.648570297346451,3.05916535816686,3168,2,1
1,1,-0.382081878450699,3.0939098289511,3068,2,1
1,1,-0.0487103131040929,3.13504008680477,2968,2,1
1,1,0.306987864430994,3.16516877480689,2868,2,1
1,1,0.634077609693631,3.1781037771516,2768,2,1
1,1,0.891874496149831,3.17991335076764,2668,2,1
1,1,1.0553607444698,3.18124021176404,2568,2,1
